PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39789693,"OsLdh7 Overexpression in Rice Confers Submergence Tolerance by Regulating Key Metabolic Pathways: Anaerobic Glycolysis, Ethanolic Fermentation and Amino Acid Metabolism.",2025,"Yajnaseni Chatterjee, Surabhi Tomar, Manjari Mishra, Sneh Lata Singla-Pareek","Plant Stress Biology Group, International Centre for Genetic Engineering and Biotechnology, New Delhi, India.",
39789641,Secreted LGALS3BP facilitates distant metastasis of breast cancer.,2025,"Jeesoo Kim, Jong-Seo Kim","Center for RNA Research, Institute for Basic Science, Seoul, Republic of Korea.",
39789599,Histamine N-methyltransferase (HNMT) as a potential auxiliary biomarker for predicting adaptability to anti-HER2 drug treatment in breast cancer patients.,2025,Huey-En Tzeng,"Division of Hematology/Medical Oncology, Department of Medicine, Taichung Veterans General Hospital, Taichung City, Taiwan.",
39789587,Addressing cancer care inequities in sub‑Saharan Africa: current challenges and proposed solutions.,2025,Athanasios Alexiou,"Department of Science and Engineering, Novel Global Community Educational Foundation, Hebersham, NSW, 2770, Australia.",
39789561,"The activity of a herbal medicinal product of Phyllanthus niruri and Silybum marianum powdered extracts (Heptex®) in patients with apparent risk factors for nonalcoholic steatohepatitis: a phase II, multicentered, randomized, double-blind, placebo-controlled clinical trial.",2025,"Mohamed Hassany, Basem Eysa, AbdulMoneim Adel, Ahmed Zidan","National Hepatology and Tropical Medicine Research Institute (NHTMRI), Cairo, Egypt.",
39789535,Changes to muscle and fascia tissue after eighteen days of ankle immobilization post-ankle sprain injury: an MRI case study.,2025,"Pan Su, Samantha Holdsworth","Mātai Medical Research Institute, Gisborne, New Zealand., Siemens Medical Solutions, USA, Inc., Malvern, PA, USA.",
39789518,Semi-field experiments reveal contrasted predation and movement patterns of aquatic macroinvertebrate predators of Anopheles gambiae larvae.,2025,"Emmanuel W Kaindoa, Joel Nkya, Alex Limwagu, Fredros O Okumu, Jonathan K Kayondo, Frédéric Tripet","Environmental Health and Ecological Science Department, Ifakara Health Institute, P.O. Box 53, Ifakara, Tanzania., Swiss Tropical and Public Health Institute, Kreuzstrasse 2, 4123, Allschwil, Switzerland. frederic.tripet@swisstph.ch., Department of Entomology, Uganda Virus Research Institute, Plot 51/59 Nakiwogo Road, P.O. Box 49, Entebbe, Uganda.",frederic.tripet@swisstph.ch
39789475,Metabolic profiling of Perilla leaves of different colors: insights into metabolite variation and bioactive compound distribution.,2025,"Feng Li, Nanjun Jiang","Amway (China) Botanical R&D Center, Wuxi, 214115, China.",
39789465,A sweeping view of avian mycoplasmas biology drawn from comparative genomic analyses.,2025,"Pascal Sirand-Pugnet, Yonathan Arfi, Alain Blanchard","Univ. Bordeaux, INRAE, UMR BFP, 33882, Villenave d'Ornon, France.",
39789462,Correction: Evaluation of N-NOSE as a surveillance tool for recurrence in gastric and esophageal cancers: a prospective cohort study.,2025,"Hideyuki Hatakeyama, Masayo Morishita, Umbhorn Ungkulpasvich, Takaaki Hirotsu, Eric di Luccio","Hirotsu Bio Science Inc, Tokyo, 102-0094, Japan.",
39789408,Continued Treatment with Nintedanib in Patients with Progressive Pulmonary Fibrosis: Data from INBUILD-ON.,2025,"Francesco Varone, Corinna Miede, Mihaela Dumistracel, Carl Coeck","Boehringer Ingelheim Pharma GmbH & Co. KG, Ingelheim am Rhein, Germany., Boehringer Ingelheim SComm., Brussels, Belgium., mainanalytics GmbH, Sulzbach (Taunus), Germany., Fondazione Policlinico A Gemelli IRCCS, Rome, Italy.",
39789403,"Differences in anxiety, depression and pain experience among adults with chronic low back pain as a function of nicotine product use.",2025,Jafar Bakhshaie,"Center for Health Outcomes and Interdisciplinary Research, Department of Psychiatry, Massachusetts General Hospital, Boston, MA, USA.",
